name,mw,number_of_realizations,versions,realization_tag,expected_number_of_realizations,residual_number_of_realizations,v21p1,v21p6,v21p6p2,v22p2,v22p4,v23p5,v23p7,v23p10
GeorgeR1,8.13,37.0,v22p4,good,53.0,16.0,,,,,37,,,
AlpineF2K,8.1,47.0,v23p7,good,52.0,5.0,,,,,,,47,
MilB5GeoR2,7.9,29.0,v22p4,good,48.0,19.0,,,,,29,,,
AlpineR,7.79,38.0,v22p4,good,46.0,8.0,,,,,38,,,
Wairau,7.78,37.0,v21p1,incomplete,46.0,9.0,37,,,,,,,
WhiteCk,7.77,78.0,"v21p6p2, v23p10",mixed,46.0,-32.0,,,39,,,,,39
TeAnau,7.73,37.0,v22p2,incomplete,45.0,8.0,,,,37,,,,
Swedge5,7.7,40.0,v22p4,good,44.0,4.0,,,,,40,,,
ClarenceNE,7.7,36.0,v21p1,incomplete,44.0,8.0,36,,,,,,,
AwatNEVerCl,7.69,36.0,v21p1,incomplete,44.0,8.0,36,,,,,,,
AwatNEVer,7.68,36.0,v21p1,incomplete,44.0,8.0,36,,,,,,,
HopeConwayOS,7.68,35.0,v21p6p2,incomplete,44.0,9.0,,,35,,,,,
AlpineK2T,7.66,41.0,v21p1,incomplete,44.0,3.0,41,,,,,,,
MoonlightSth,7.63,36.0,v22p4,good,43.0,7.0,,,,,36,,,
HumpR,7.62,36.0,v22p2,incomplete,43.0,7.0,,,,36,,,,
KekerenguBF,7.61,36.0,v21p1,incomplete,43.0,7.0,36,,,,,,,
FiordSZ09,7.6,0.0,,undone,42.0,42.0,,,,,,,,
Hauroko,7.59,35.0,v22p2,incomplete,42.0,7.0,,,,35,,,,
JorKekNeed,7.59,35.0,v21p1,incomplete,42.0,7.0,35,,,,,,,
MilfordB1,7.59,39.0,v22p4,good,42.0,3.0,,,,,39,,,
Hollyford,7.58,35.0,v22p4,good,42.0,7.0,,,,,35,,,
AwatereNE,7.58,34.0,v21p1,incomplete,42.0,8.0,34,,,,,,,
MoonlightNth,7.56,35.0,v21p6p2,incomplete,42.0,7.0,,,35,,,,,
JorKekCha,7.56,34.0,v21p1,incomplete,42.0,8.0,34,,,,,,,
Cw4Swedge411,7.52,38.0,v22p4,good,41.0,3.0,,,,,38,,,
Nevis,7.52,35.0,v22p4,good,41.0,6.0,,,,,35,,,
Hokonui,7.52,35.0,v21p6p2,incomplete,41.0,6.0,,,35,,,,,
AwatereSW,7.52,33.0,v21p1,incomplete,41.0,8.0,33,,,,,,,
Port2GreyL,7.51,33.0,v21p6p2,incomplete,41.0,8.0,,,33,,,,,
Caswell1,7.51,35.0,v22p4,good,41.0,6.0,,,,,35,,,
PaparoaRF,7.46,33.0,v21p6p2,incomplete,40.0,7.0,,,33,,,,,
HopeConway,7.45,32.0,v21p1,incomplete,39.0,7.0,32,,,,,,,
Port2GreyS,7.45,32.0,v21p6p2,incomplete,39.0,7.0,,,32,,,,,
Ostler,7.44,34.0,v21p6p2,incomplete,39.0,5.0,,,34,,,,,
HopeTeRapa1n2,7.44,33.0,v21p1,incomplete,39.0,6.0,33,,,,,,,
NMFZK1,7.43,33.0,v23p7,good,39.0,6.0,,,,,,,33,
Swedge2,7.43,36.0,v22p4,good,39.0,3.0,,,,,36,,,
Waipiata,7.42,66.0,"v21p6p2, v23p10",mixed,39.0,-27.0,,,33,,,,,33
Akatore,7.42,33.0,v21p6p2,incomplete,39.0,6.0,,,33,,,,,
KekNeed,7.41,32.0,v21p1,incomplete,39.0,7.0,32,,,,,,,
CBalleny,7.4,32.0,v23p7,good,38.0,6.0,,,,,,,32,
Dunstan,7.4,33.0,v22p4,good,38.0,5.0,,,,,33,,,
ClarenceSW,7.4,31.0,v21p1,incomplete,38.0,7.0,31,,,,,,,
WaimeaN,7.35,30.0,v21p1,incomplete,37.0,7.0,30,,,,,,,
OldMan,7.35,33.0,v22p4,good,37.0,4.0,,,,,33,,,
Swedge6to10,7.32,34.0,v22p4,good,37.0,3.0,,,,,34,,,
Kirkliston,7.31,31.0,v21p6p2,incomplete,37.0,6.0,,,31,,,,,
MS04,7.31,31.0,v23p7,good,37.0,6.0,,,,,,,31,
BlueMtn,7.3,31.0,v21p6p2,incomplete,36.0,5.0,,,31,,,,,
Spylaw,7.29,31.0,v21p6p2,incomplete,36.0,5.0,,,31,,,,,
NMFZB2,7.29,31.0,v23p7,good,36.0,5.0,,,,,,,31,
NMFZM,7.28,31.0,v23p7,good,36.0,5.0,,,,,,,31,
Caswell4,7.27,31.0,v22p4,good,36.0,5.0,,,,,31,,,
BrunAnt,7.26,29.0,v21p6,incomplete,36.0,7.0,,29,,,,,,
Hundalee,7.26,30.0,v21p1,incomplete,36.0,6.0,30,,,,,,,
Kelly,7.25,29.0,v21p6,incomplete,35.0,6.0,,29,,,,,,
CaswellH67,7.24,30.0,v22p4,good,35.0,5.0,,,,,30,,,
NMFZB0,7.24,31.0,v23p7,good,35.0,4.0,,,,,,,31,
Pisa,7.24,30.0,v21p6p2,incomplete,35.0,5.0,,,30,,,,,
Hororata,7.23,30.0,v21p6p2,incomplete,35.0,5.0,,,30,,,,,
Gimmerburn,7.23,31.0,v21p6p2,incomplete,35.0,4.0,,,31,,,,,
Hyde,7.22,30.0,v21p6p2,incomplete,35.0,5.0,,,30,,,,,
Solander,7.22,30.0,v22p2,incomplete,35.0,5.0,,,,30,,,,
WharaToCampB,7.22,30.0,v22p4,good,35.0,5.0,,,,,30,,,
ClarenceCentr,7.21,28.0,v21p6,incomplete,35.0,7.0,,28,,,,,,
FoxPk,7.21,29.0,v21p6p2,incomplete,35.0,6.0,,,29,,,,,
Hunter,7.21,29.0,v21p6p2,incomplete,35.0,6.0,,,29,,,,,
LkHeron,7.21,29.0,v21p6p2,incomplete,35.0,6.0,,,29,,,,,
FernGully,7.21,29.0,v21p6p2,incomplete,35.0,6.0,,,29,,,,,
Fowlers,7.2,28.0,v21p6,incomplete,34.0,6.0,,28,,,,,,
UpperSlope,7.2,30.0,v23p7,good,34.0,4.0,,,,,,,30,
FiordSZ03,7.2,0.0,,undone,34.0,34.0,,,,,,,,
Swedge1,7.2,33.0,v22p4,good,34.0,1.0,,,,,33,,,
Torlesse,7.2,29.0,v21p6p2,incomplete,34.0,5.0,,,29,,,,,
AhuririR,7.19,30.0,v21p6p2,incomplete,34.0,4.0,,,30,,,,,
Ashley,7.18,31.0,v21p6p2,incomplete,34.0,3.0,,,31,,,,,
Caswell5,7.18,29.0,v22p4,good,34.0,5.0,,,,,29,,,
NMFZE1,7.17,30.0,v23p7,good,34.0,4.0,,,,,,,30,
NMFZ4647,7.17,30.0,v23p7,good,34.0,4.0,,,,,,,30,
FiordMar1-2,7.17,29.0,v22p4,good,34.0,5.0,,,,,29,,,
HuttPeelNorth,7.16,29.0,v21p6p2,incomplete,34.0,5.0,,,29,,,,,
Cwedge123,7.16,32.0,v22p4,good,34.0,2.0,,,,,32,,,
Lowry,7.16,29.0,v21p6,incomplete,34.0,5.0,,29,,,,,,
NMFZ1819,7.15,29.0,v23p7,good,33.0,4.0,,,,,,,29,
HuttPeelSouth,7.15,28.0,v21p6p2,incomplete,33.0,5.0,,,28,,,,,
KaiwaraS,7.15,29.0,v21p6,incomplete,33.0,4.0,,29,,,,,,
IrishmanC,7.14,29.0,v21p6p2,incomplete,33.0,4.0,,,29,,,,,
Swedge3,7.14,32.0,v22p4,good,33.0,1.0,,,,,32,,,
Poulter,7.14,54.0,"v21p6p2, v23p5",mixed,33.0,-21.0,,,27,,,27,,
NorthCant8,7.14,29.0,v21p6,incomplete,33.0,4.0,,29,,,,,,
Rakaia,7.13,28.0,v21p6p2,incomplete,33.0,5.0,,,28,,,,,
SFiordMg13,7.13,28.0,v22p4,good,33.0,5.0,,,,,28,,,
BlueLk,7.13,29.0,v21p6p2,incomplete,33.0,4.0,,,29,,,,,
DoubleHill,7.13,28.0,v21p6p2,incomplete,33.0,5.0,,,28,,,,,
Kakapo,7.13,27.0,v21p1,incomplete,33.0,6.0,27,,,,,,,
TaieriR,7.12,30.0,v21p6p2,incomplete,33.0,3.0,,,30,,,,,
Maimai,7.12,29.0,v21p6,incomplete,33.0,4.0,,29,,,,,,
Billys,7.11,29.0,v21p6p2,incomplete,33.0,4.0,,,29,,,,,
Inangahua,7.11,29.0,v21p6p2,incomplete,33.0,4.0,,,29,,,,,
Raggedy,7.1,28.0,v21p6p2,incomplete,32.0,4.0,,,28,,,,,
Hope1888,7.1,27.0,v21p1,incomplete,32.0,5.0,27,,,,,,,
CaswellH8,7.08,28.0,v22p4,good,32.0,4.0,,,,,28,,,
NMFZE2,7.08,31.0,v23p7,good,32.0,1.0,,,,,,,31,
NorthBranch,7.08,27.0,v21p6p2,incomplete,32.0,5.0,,,27,,,,,
Waitohi,7.07,56.0,"v21p6p2, v23p10",mixed,32.0,-24.0,,,28,,,,,28
Lyell,7.06,27.0,v21p6,incomplete,32.0,5.0,,27,,,,,,
NMFZF2,7.06,28.0,v23p7,good,32.0,4.0,,,,,,,28,
CardronaN,7.05,27.0,v21p6p2,incomplete,31.0,4.0,,,27,,,,,
Springbank,7.04,27.0,v21p6p2,incomplete,31.0,4.0,,,27,,,,,
Pegasus1nw,7.04,28.0,v21p6,incomplete,31.0,3.0,,28,,,,,,
Esk,7.04,52.0,"v21p6p2, v23p5",mixed,31.0,-21.0,,,26,,,26,,
WaimeaS,7.04,26.0,v21p1,incomplete,31.0,5.0,26,,,,,,,
Harper,7.03,27.0,v21p6p2,incomplete,31.0,4.0,,,27,,,,,
LindisP,7.02,26.0,v21p6p2,incomplete,31.0,5.0,,,26,,,,,
MS01,7.01,26.0,v22p4,good,31.0,5.0,,,,,26,,,
Grandview,7.01,27.0,v21p6p2,incomplete,31.0,4.0,,,27,,,,,
Cust,7.01,27.0,v21p6p2,incomplete,31.0,4.0,,,27,,,,,
Brothers,7.0,52.0,"v21p6p2, v23p5",mixed,30.0,-22.0,,,26,,,26,,
NMFZK2,6.99,27.0,v23p7,good,30.0,3.0,,,,,,,27,
NMFZF1,6.99,32.0,v23p7,good,30.0,-2.0,,,,,,,32,
FiveFingers,6.99,26.0,v22p4,good,30.0,4.0,,,,,26,,,
Springfield,6.98,26.0,v21p6p2,incomplete,30.0,4.0,,,26,,,,,
HopeCW,6.98,25.0,v21p1,incomplete,30.0,5.0,25,,,,,,,
Caswell211,6.96,26.0,v22p4,good,30.0,4.0,,,,,26,,,
CardronaS,6.94,26.0,"v21p6p2, v23p5",mixed,29.0,3.0,,,0,,,26,,
Fidget,6.94,24.0,v21p6,incomplete,29.0,5.0,,24,,,,,,
NorthCant13,6.92,26.0,v21p6,incomplete,29.0,3.0,,26,,,,,,
Chalky4to8,6.92,25.0,v22p4,good,29.0,4.0,,,,,25,,,
Opawa,6.91,50.0,"v21p6p2, v23p5",mixed,29.0,-21.0,,,25,,,25,,
CaswellH10,6.91,26.0,v22p4,good,29.0,3.0,,,,,26,,,
Browning,6.89,48.0,"v21p6p2, v23p5",mixed,28.0,-20.0,,,24,,,24,,
Dryburgh,6.87,48.0,"v21p6p2, v23p5",mixed,28.0,-20.0,,,24,,,24,,
KaiwaraN,6.87,24.0,v21p6,incomplete,28.0,4.0,,24,,,,,,
HopeTARA,6.87,23.0,v21p1,incomplete,28.0,5.0,23,,,,,,,
Caswell3,6.87,25.0,v22p4,good,28.0,3.0,,,,,25,,,
LeesV,6.86,24.0,v21p6,incomplete,28.0,4.0,,24,,,,,,
NorthCant1,6.84,25.0,v21p6,incomplete,27.0,2.0,,25,,,,,,
MS05,6.83,24.0,v21p6,incomplete,27.0,3.0,,24,,,,,,
Barefell,6.83,23.0,v21p6,incomplete,27.0,4.0,,23,,,,,,
Chalky1to3,6.83,24.0,v22p4,good,27.0,3.0,,,,,24,,,
Settlement,6.82,24.0,v22p2,incomplete,27.0,3.0,,,,24,,,,
Dalgety,6.81,46.0,"v21p6p2, v23p5",mixed,27.0,-19.0,,,23,,,23,,
NorthCant10,6.8,24.0,v23p7,good,26.0,2.0,,,,,,,24,
Cheeseman,6.79,48.0,"v21p6p2, v23p5",mixed,26.0,-22.0,,,24,,,24,,
NMFZB1,6.77,24.0,v23p7,good,26.0,2.0,,,,,,,24,
LongVlly,6.77,46.0,"v21p6p2, v23p5",mixed,26.0,-20.0,,,23,,,23,,
CaswellH9,6.76,23.0,v22p4,good,26.0,3.0,,,,,23,,,
MtWhite,6.74,22.0,v21p6,incomplete,25.0,3.0,,22,,,,,,
NorthCant2,6.73,23.0,v21p6,incomplete,25.0,2.0,,23,,,,,,
Takitimu2,6.68,44.0,"v21p6p2, v23p5",mixed,24.0,-20.0,,,22,,,22,,
Albury,6.68,42.0,"v21p6p2, v23p5",mixed,24.0,-18.0,,,21,,,21,,
Stonewall,6.68,42.0,"v21p6p2, v23p5",mixed,24.0,-18.0,,,21,,,21,,
Hanmer,6.61,40.0,"v21p6p2, v23p5",mixed,23.0,-17.0,,,20,,,20,,
SFiordMg1to9,6.61,23.0,v22p4,good,23.0,0.0,,,,,23,,,
Omihi,6.6,20.0,v21p6,incomplete,22.0,2.0,,20,,,,,,
Otematata,6.56,38.0,"v21p6p2, v23p5",mixed,22.0,-16.0,,,19,,,19,,
Ranfurly,6.55,20.0,"v21p6p2, v23p5",mixed,21.0,1.0,,,0,,,20,,
NorthCant11,6.55,20.0,v21p6,incomplete,21.0,1.0,,20,,,,,,
MS09,6.54,27.0,v23p7,good,21.0,-6.0,,,,,,,27,
Takitimu1,6.53,40.0,"v21p6p2, v23p5",mixed,21.0,-19.0,,,20,,,20,,
Waitangi,6.52,38.0,"v21p6p2, v23p5",mixed,21.0,-17.0,,,19,,,19,,
MS02,6.5,19.0,v22p4,good,20.0,1.0,,,,,19,,,
NorthCant4,6.45,19.0,v21p6,incomplete,19.0,0.0,,19,,,,,,
QuartzCk,6.35,30.0,"v21p6p2, v23p5",mixed,17.0,-13.0,,,15,,,15,,
